student_id	subject_id	evaluation_date	comments	point
OGB/2024/0	subject_5	10/5/2024	Excellent performance	10
OGB/2024/0	subject_21	9/19/2024	Very bad performance	0
OGB/2024/0	subject_6	9/15/2024	Excellent performance	10
OGB/2024/0	subject_17	9/26/2024	Excellent performance	10
OGB/2024/0	subject_23	9/13/2024	Excellent performance	10
OGB/2024/0	subject_22	9/21/2024	Fair performance	6
OGB/2024/0	subject_1	9/29/2024	Excellent performance	10
OGB/2024/0	subject_18	9/29/2024	Fair performance	6
OGB/2024/0	subject_15	9/8/2024	Excellent performance	10
OGB/2024/1	subject_13	10/1/2024	Very bad performance	0
OGB/2024/1	subject_25	9/19/2024	Excellent performance	10
OGB/2024/1	subject_14	9/24/2024	Good performance	8
OGB/2024/1	subject_18	10/3/2024	Below average performance	2
OGB/2024/1	subject_6	9/14/2024	Very bad performance	0
OGB/2024/1	subject_17	9/15/2024	Very bad performance	0
OGB/2024/1	subject_1	9/8/2024	Very bad performance	0
OGB/2024/1	subject_5	9/11/2024	Excellent performance	10
OGB/2024/2	subject_23	10/5/2024	Excellent performance	10
OGB/2024/2	subject_26	9/25/2024	Excellent performance	10
OGB/2024/2	subject_17	9/23/2024	Below average performance	2
OGB/2024/2	subject_24	9/27/2024	Good performance	8
OGB/2024/2	subject_5	9/24/2024	Average performance	4
OGB/2024/2	subject_22	10/3/2024	Excellent performance	10
OGB/2024/2	subject_1	9/13/2024	Fair performance	6
OGB/2024/2	subject_16	9/14/2024	Below average performance	2
OGB/2024/2	subject_27	10/5/2024	Excellent performance	10
OGB/2024/3	subject_26	9/20/2024	Very bad performance	0
OGB/2024/3	subject_23	10/7/2024	Below average performance	2
OGB/2024/3	subject_29	9/16/2024	Very bad performance	0
OGB/2024/3	subject_27	9/28/2024	Below average performance	2
OGB/2024/3	subject_22	10/1/2024	Fair performance	6
OGB/2024/3	subject_28	9/29/2024	Fair performance	6
OGB/2024/3	subject_14	10/4/2024	Good performance	8
OGB/2024/3	subject_18	9/18/2024	Good performance	8
OGB/2024/3	subject_6	9/11/2024	Below average performance	2
OGB/2024/3	subject_5	9/9/2024	Excellent performance	10
OGB/2024/4	subject_2	10/2/2024	Fair performance	6
OGB/2024/4	subject_3	10/7/2024	Excellent performance	10
OGB/2024/4	subject_5	9/27/2024	Excellent performance	10
OGB/2024/4	subject_8	10/4/2024	Good performance	8
OGB/2024/4	subject_9	9/30/2024	Very bad performance	0
OGB/2024/4	subject_6	9/16/2024	Excellent performance	10
OGB/2024/4	subject_10	10/5/2024	Very bad performance	0
OGB/2024/4	subject_7	9/7/2024	Fair performance	6
OGB/2024/5	subject_16	9/26/2024	Excellent performance	10
OGB/2024/5	subject_25	9/10/2024	Good performance	8
OGB/2024/5	subject_26	9/7/2024	Below average performance	2
OGB/2024/5	subject_18	9/7/2024	Very bad performance	0
OGB/2024/5	subject_23	9/21/2024	Excellent performance	10
OGB/2024/5	subject_15	9/21/2024	Excellent performance	10
OGB/2024/5	subject_1	10/2/2024	Good performance	8
OGB/2024/5	subject_24	9/20/2024	Excellent performance	10
OGB/2024/5	subject_17	9/25/2024	Good performance	8
OGB/2024/5	subject_21	9/15/2024	Excellent performance	10
OGB/2024/6	subject_8	9/12/2024	Below average performance	2
OGB/2024/6	subject_2	9/8/2024	Excellent performance	10
OGB/2024/6	subject_10	10/1/2024	Good performance	8
OGB/2024/6	subject_4	9/15/2024	Good performance	8
OGB/2024/6	subject_7	9/19/2024	Excellent performance	10
OGB/2024/6	subject_6	9/9/2024	Good performance	8
OGB/2024/6	subject_3	9/22/2024	Fair performance	6
OGB/2024/6	subject_9	9/26/2024	Very bad performance	0
OGB/2024/6	subject_5	10/6/2024	Excellent performance	10
OGB/2024/6	subject_1	9/8/2024	Very bad performance	0
OGB/2024/7	subject_24	10/4/2024	Average performance	4
OGB/2024/7	subject_15	9/17/2024	Fair performance	6
OGB/2024/7	subject_29	9/19/2024	Good performance	8
OGB/2024/7	subject_28	9/18/2024	Very bad performance	0
OGB/2024/7	subject_16	9/16/2024	Below average performance	2
OGB/2024/7	subject_18	9/12/2024	Excellent performance	10
OGB/2024/7	subject_5	9/19/2024	Very bad performance	0
OGB/2024/7	subject_6	10/3/2024	Fair performance	6
OGB/2024/7	subject_27	10/7/2024	Fair performance	6
OGB/2024/7	subject_17	9/10/2024	Excellent performance	10
OGB/2024/8	subject_28	9/20/2024	Excellent performance	10
OGB/2024/8	subject_15	10/2/2024	Very bad performance	0
OGB/2024/8	subject_14	9/30/2024	Excellent performance	10
OGB/2024/8	subject_22	9/10/2024	Excellent performance	10
OGB/2024/8	subject_17	9/29/2024	Below average performance	2
OGB/2024/8	subject_24	9/14/2024	Excellent performance	10
OGB/2024/8	subject_16	9/30/2024	Good performance	8
OGB/2024/8	subject_5	10/5/2024	Below average performance	2
OGB/2024/8	subject_26	9/23/2024	Good performance	8
OGB/2024/8	subject_25	9/8/2024	Very bad performance	0
OGB/2024/9	subject_9	9/13/2024	Very bad performance	0
OGB/2024/9	subject_4	10/7/2024	Below average performance	2
OGB/2024/9	subject_6	9/20/2024	Fair performance	6
OGB/2024/9	subject_7	10/5/2024	Excellent performance	10
